Patent Number,Title,Abstract
US - 07.09.2023,MANAGING ACCESS TO QUANTUM SERVICES IN QUANTUM COMPUTING DEVICES,"Managing access to quantum services in quantum computing devices is disclosed herein. In one example, a processor device of a classical computing device identifies a quantum computing device communicatively coupled to the classical computing device, and obtains quantum computing device metadata for the quantum computing device. Based on the quantum computing device metadata, the processor device identifies one or more quantum services provided by the quantum computing device, and generates a quantum computing device (QCD) profile for the quantum computing device, a QCD access Application Programming Interface (API) for the quantum computing device, and one or more quantum service APIs corresponding to the one or more quantum services. In this manner, access to quantum service functionality by classical applications may be facilitated and managed."
CN - 14.07.2023,"Quantum computing task processing method and device, equipment and storage medium","The invention provides a quantum computing task processing method and device, equipment and a storage medium, and relates to the field of quantum computing. According to the specific implementation scheme, a first quantum computing task and a second quantum computing task are divided into a plurality of processing stages based on a parallel pipeline mode, and according to the sequential execution sequence of the processing stages, under the condition that the first quantum computing task is executed to the pulse compilation stage, the pulse compilation stage is executed on the task, and the pulse compilation stage is executed on the second quantum computing task. Obtaining an executable pulse sequence of the task; sending the executable pulse sequence to the quantum computing device; in the process of executing the multiple processing stages of the task, executing the second quantum computing task in parallel according to the execution sequence of the multiple processing stages; and sending the executable pulse sequence of the second quantum computing task to the quantum computing device under the condition that the quantum computing device is determined to execute the first quantum computing task. The utilization rate of the quantum computing device can be remarkably improved."
CN - 12.04.2024,"Classical and quantum computing method and apparatus for performing prime factorization of integers, classical and quantum computing method and apparatus for inverting logic gates","A quantum computing method of performing prime factorization of an integer includes determining a logic gate circuit (1000) including logic gates (1010-1013, 1020-1023, 1030-1033, 1040-1043), the logic gate circuit configured to compute a multiplication function that outputs the integer. The quantum computing method includes determining gate coded Hamiltonian (HG), one gate coded Hamiltonian per one of the logic gates, where each gate coded Hamiltonian encodes an input-output relationship of one of the logic gates and is a sum of addend Hamiltonian. The quantum computing method includes providing a quantum system (1100) including components (401-404, 901-904, 911-914), where each addend Hamiltonian of each of the gate encoded Hamiltonian is associated with a respective component of the quantum system. The quantum computing method includes determining a first set of short-range quantum interactions of a component based on a logic gate of a logic gate circuit. The quantum computing method includes determining a second set of short range quantum interactions of the component based on integers. A quantum computing method includes evolving a quantum system, including implementing a first set of short-range quantum interactions and a second set of short-range quantum interactions. The quantum computing method includes measuring at least a portion of a quantum system to obtain a readout. The quantum computing method includes determining a prime factor of an integer based on the readout."
CN - 17.02.2023,Quantum computer operating system and quantum computer,"The invention belongs to the field of quantum computing, and particularly discloses a quantum computer operating system and a quantum computer.The quantum computer operating system comprises a quantum computing task receiving module, a quantum computing task merging module, a quantum chip resource configuration service module and a quantum computing task mapping service module; the quantum computing task receiving module is used for receiving a quantum computing task queue and combining a plurality of quantum computing tasks with execution time meeting a preset requirement in the quantum computing task queue into an integral quantum computing task so as to obtain a quantum bit topological structure in a quantum chip based on the integral quantum computing task; and mapping the overall quantum computing task into the quantum bit topological structure so as to execute the overall quantum computing task. The utilization rate of quantum bit resources in the quantum chip is effectively improved, and meanwhile the influence of crosstalk on the execution result of the quantum calculation task can be reduced."
US - 02.05.2024,RESOURCE ACCESS REQUEST HANDLING FOR QUANTUM COMPUTING SYSTEMS,"Information descriptive of a request to access a quantum computing resource and an intended action associated with the quantum computing resource is obtained from a quantum client device by a quantum computing system. Based at least in part on the information, a quantum computing resource access request is sent to a quantum access granting entity, wherein the quantum computing resource access request comprises information descriptive of the quantum computing resource, an intended action, and an identity of the quantum client device. A request to assign a preliminary lock to the quantum computing resource for the quantum client device is provided. Responsive to sending the quantum computing resource access request, information indicative of a decision to grant quantum computing resource access to the quantum client device is received from the quantum access granting entity."
CN - 09.12.2022,Quantum computing task optimization processing method and device and quantum computer,"The invention discloses a quantum computing task optimization processing method and device and a quantum computer. The method comprises the steps that a quantum computing task to be executed is received; whether the length of the quantum computing task to be executed exceeds a preset threshold value or not is judged, and the threshold value is set according to the length of the maximum unit task capable of being operated by a quantum control system of a quantum computer; if yes, the to-be-executed quantum computing task is divided into a plurality of sub-tasks, compiling processing is executed on the sub-tasks, and the sum of the lengths of all the sub-tasks is equal to the length of the to-be-executed quantum computing task; and if not, compiling the to-be-executed quantum computing task. According to the method and the device, the requirement of processing a large-length quantum computing task can be met under the condition that hardware resources of a quantum computer are limited."
US - 18.11.2021,METHOD FOR SERVING CLOUD OF QUANTUM COMPUTING AND COMPUTING DEVICE FOR EXECUTING THE METHOD,"A method for serving cloud of quantum computing according to an embodiment may include receiving a request to perform quantum computing from a client and providing a standard resource description to the client, receiving, from the client, resource-related information corresponding to the standard resource description, providing a standard application program interface (API) to the client, and receiving, from the client, standard quantum computing code created through the standard API, selecting quantum computing hardware, which is to execute the standard quantum computing code, among a plurality of quantum computing hardware, based on one or more among the resource-related information and the standard quantum computing code, converting the standard quantum computing code into quantum computing code executable on the selected quantum computing hardware, and executing the converted quantum computing code using the selected quantum computing hardware."
CN - 02.02.2024,"Quantum computing system, analog data sending and generating method and related device","The embodiment of the invention provides a quantum computing system, an analog data sending method, an analog data generating method and related devices. The quantum computing system comprises a basic computing unit and a quantum computing unit, wherein the basic computing unit is used for acquiring a simulation data set; sending the analog data set to a quantum computing unit; generating value data of a third simulation index of the target object according to the value data of the second simulation index of the target object received from the quantum computing unit and a specified computing rule; the quantum computing unit is used for receiving an analog data set; executing a specified number of times of quantum obstacle comparison operation process according to the simulation data set to obtain value data of a second simulation index of the target object after a specified time period; and sending the value data of the second simulation index to the basic calculation unit. According to the embodiment of the invention, the generation time of the value data of the simulation index of the target object is shortened, and the operation efficiency of a quantum computing system is improved."
WO - 15.08.2024,WO/2024/164661DATA GENERATION TASK PROCESSING METHOD AND QUANTUM COMPUTING SYSTEM,"Embodiments of the present application provide a data generation task processing method and a quantum computing system. The method comprises: receiving a data generation task; constructing a basic computing subtask and a quantum computing subtask of the data generation task; executing an operation process of the basic computing subtask to obtain basic computing result data, and distributing the quantum computing subtask to a quantum computing unit so that the quantum computing unit carries out operation to obtain quantum computing result data of the quantum computing subtask; and generating target data according to the basic computing result data and the quantum computing result data. According to the embodiments of the present application, the decomposition of a data generation task into a basic computing subtask and a quantum computing subtask is achieved, and processing a data generation task by a classical computer is changed to processing a data generation task by a classical computer and a quantum computer together, thereby reducing, to a certain extent, the usage of operation resources of the classical computer when processing a data generation task."
CN - 31.05.2024,Quantum computer operating system and quantum computer,"The invention discloses a quantum computer operating system and a quantum computer.The system comprises a quantum computing application module, a quantum programming framework module and a quantum computing system service module which are in communication connection, and the quantum computing application module is used for providing a plurality of quantum computing application development suites and a quantum language programming environment; the quantum programming framework module is used for providing various programming frameworks and programming languages corresponding to the programming frameworks, and generating quantum computing tasks under the corresponding programming frameworks; the quantum computing system service module is used for quantum bit resource management and computing resource allocation and optimization of quantum computing tasks, and the quantum computing system service module effectively promotes the development of the quantum computing technology and improves the universality of the quantum computer operating system by providing the quantum computer operating system."
CN - 23.12.2022,Distributed quantum computing system,"The invention discloses a distributed quantum computing system, which comprises a client, a server and a computing node, and is characterized in that the client is used for analyzing a quantum application into a quantum-classic mixed executable program; the server is used for acquiring a quantum computing task corresponding to a quantum program part and a classic computing task corresponding to a classic program part in the quantum-classic mixed executable program, and respectively sending the quantum computing task and the classic computing task to the quantum computing resource node and the classic computing resource node; the quantum computing resource node is used for executing a quantum computing task to obtain a quantum computing result; the classic computing resource node is used for executing a classic computing task to obtain a classic computing result; and the server is also used for synthesizing the quantum calculation result and the classic calculation result into a calculation result of the quantum application, and returning the calculation result of the quantum application to the client. By adopting the embodiment of the invention, efficient operation of quantum applications can be realized."
CN - 07.03.2023,Quantum computing cloud platform and quantum computing method,"The invention provides a quantum computing cloud platform and a quantum computing method, and relates to the technical field of quantum computing, and the quantum computing cloud platform comprises a website front end which is used for providing a user management interface, an information management interface and an experiment management interface; the website rear end is used for responding to the requirements of user management, information management and experiment management; the function service module is connected with the website rear end and is used for being responsible for services related to quantum computing; and the agent module is connected with the function service module and is used for packaging the quantum computers so as to provide a unified calling interface of the quantum computers for a user, performing task queue management on the quantum computers and scheduling the quantum computing tasks. According to the quantum computing cloud platform, a unified calling interface is provided for a user, a complete machine calling interface is provided for a third-party website, unified access of multiple quantum computers is achieved, the expansibility and universality of the cloud platform are greatly improved, all functional modules are separated and decoupled, and all kinds of development are more targeted."
CN - 28.04.2023,Concurrent task scheduling system and method for quantum computing processor and medium,"The invention relates to the field of quantum computing, in particular to a concurrent task scheduling system and method for a quantum computing processor and a medium. The system comprises: at least one quantum computing processor, each quantum computing processor having a plurality of quantum bits; the first-layer scheduling center monitors the busy degree of each quantum computing processor, extracts the total task number from the quantum experiment information to be processed, and executes task segmentation to obtain a task queue corresponding to each quantum computing processor; the second-layer dispatching center divides the plurality of quantum bits into a plurality of quantum bit combinations by taking each quantum computing processor as a unit and monitors the working state; and selecting a target quantum bit combination from the plurality of quantum bit combinations according to the working state to execute a task queue segmented by the first-layer scheduling center for the corresponding quantum computing processor. According to the scheme, the problem that the quantum computing processor is exclusively occupied by the experiment task is solved, and the experiment task processing speed is increased."
US - 25.07.2024,QUANTUM COMPUTING PROGRAM COMPILATION USING CACHED COMPILED QUANTUM CIRCUIT FILES,"A quantum computing service may store, in a cache, one or more compiled files of respective quantum functions included in one or more quantum computing programs received one or more customers. When the quantum computing service receives another quantum computing program, from the same or a different customer, the quantum computing service may determine whether the quantum computing program may include one or more of the quantum functions corresponding to the compiled files in the cache. If so, the quantum computing service may use the compiled files in the cache to compile the quantum computing program."
US - 03.08.2023,Ion-Trapping Quantum Computing Task Execution,"A computer-implemented method for executing a quantum computing task includes providing a quantum computing system. The computer-implemented method includes receiving a request, from a quantum computing client, to execute a quantum computing task via the quantum computing system. The computer-implemented method includes executing the requested quantum computing task via the quantum computing system. The executing the requested quantum computing task includes trapping a set of ions. The computer-implemented method includes returning a response related to the executed quantum computing task to the quantum computing client."
US - 04.02.2021,Rule-driven service management using entangled qubits in quantum computing systems,"Rules-driven service management using entangled qubits in quantum computing systems is disclosed. In one example, a first quantum computing device maintains a first qubit entangled with a corresponding second qubit of a second quantum computing device. Upon detecting an occurrence of a trigger condition, the first quantum computing device identifies a quantum operation corresponding to the trigger condition. The first quantum computing device then performs the quantum operation corresponding to the trigger condition on the first qubit. Concurrently with the first quantum computing device performing the quantum operation, the second quantum computing device observes a quantum state of the second qubit. The second quantum computing device identifies a responsive action that corresponds to the quantum state of the second qubit, and performs the responsive action. In this manner, the entangled state between the first and second qubits provides a rules propagation mechanism between the first and second quantum computing devices."
US - 22.06.2023,MIGRATING QUANTUM SERVICES BASED ON TEMPERATURE THRESHOLDS,"Migrating quantum services based on temperature thresholds is disclosed herein. In one example, a first processor device of a first quantum computing device determines that a temperature of a second quantum computing device has exceeded a temperature threshold. The first processor device identifies a quantum service, executing on the second quantum computing device, for migration, and identifies a third quantum computing device of the quantum computing system as a migration destination for the quantum service. The first processor device of the first quantum computing device configures the second quantum computing device to place the quantum service in an inactive state, and transfers the quantum service from the second quantum computing device to the third quantum computing device. The first processor device then initiates execution of the quantum service on the third quantum computing device."
CN - 23.12.2022,Quantum computing task processing method and device and quantum computer operating system,"The invention discloses a quantum computing task processing method and device and a quantum computer operating system. The method comprises the steps that a quantum circuit corresponding to a quantum computing task is cut into a plurality of sub-quantum circuits based on the quantum state evolution process of quantum bits of the quantum circuit; respectively preparing an initial quantum state of a quantum bit in each sub-quantum circuit; quantum bits in each sub-quantum circuit after the initial quantum state is prepared are measured, and a measurement result of each sub-quantum circuit is obtained; and synthesizing the measurement results of the sub-quantum circuits to obtain a calculation result of the quantum calculation task. By adopting the embodiment of the invention, the quantum computing task can be decomposed into a plurality of independent sub-quantum computing tasks, and distributed computing of the quantum computing task is realized."
WO - 03.11.2022,"WO/2022/228224QUANTUM COMPUTING TASK EXECUTION METHOD AND APPARATUS, AND QUANTUM COMPUTER OPERATING SYSTEM","A quantum computing task execution method and apparatus, and a quantum computer operating system, applied to a first electronic device comprising a quantum chip, wherein a first physical quantum bit in the quantum chip is allocated for executing a first quantum computing task. The method comprises: obtaining a current topological structure of the quantum chip (201); obtaining a second quantum computing task in a task queue (202); determining a second physical quantum bit on the basis of the current topological structure and the second quantum computing task, the second physical quantum bit and the first physical qubit being not interfere with each other (203); and allocating the second physical quantum bit to perform the second quantum computing task (204). Parallel computing of a plurality of quantum computing tasks is implemented in quantum computing."
CN - 14.06.2022,Multi-bit quantum gate adding method and device for quantum computing cloud platform,"The invention discloses a multi-bit quantum gate adding method and equipment for a quantum computing cloud platform, belongs to the technical field of web front ends and quantum computing, and is used for solving the technical problem that a multi-bit gate adding method capable of meeting the requirement does not exist at present and is not beneficial to the realization of a quantum computing function of the quantum computing cloud platform. The method comprises the following steps: adding a multi-bit quantum gate icon in a quantum gate list of the quantum computing cloud platform; the multi-bit quantum gate icon is set; setting a quantum register of the quantum computing cloud platform; the multi-bit quantum gate icon is dragged into the quantum register, and adding of the multi-bit quantum gate is completed. According to the method, specific implementation steps for performing multi-bit quantum gate adding operation in graphic programming can be provided for the quantum computing cloud platform, and implementation of the quantum computing function of the quantum computing cloud platform is facilitated."
US - 23.01.2025,QUANTUM COMPUTING MONITORING SYSTEM,"A quantum computing monitoring system may receive a request from user describing an algorithm to be executed using classical and quantum computing resources and a metric to be monitored associated with execution of the algorithm at the quantum computing resources. In execution, the quantum computing monitoring system may cause measurements to be obtained from the quantum computing resources at individual steps of the execution of the algorithm at the quantum computing resources, and the metric to be determined based on the obtained measurements. The quantum computing monitoring system may evaluate the metric with respect to a threshold, and provide an alert to the user responsive to determining that the metric fails to satisfy the threshold. The quantum computing monitoring system may further perform an operation to modify the execution of the algorithm at the quantum computing resources as needed."
CN - 25.05.2021,"Client anti-quantum computing work card, server anti-quantum computing work card and remote office system","The utility model provides a client anti-quantum computing work card, a server anti-quantum computing work card and a remote office system. The client anti-quantum computing work card and the server anti-quantum computing work card each comprise a CPU, a communication module, a secret key area and an identity information area. The client anti-quantum computing work card is connected with the client through the communication module and can compute the public key of the server according to the stored data and the ID of the server so as to compute a symmetric key; the server-side anti-quantum computing work card is connected with the server through the communication module and can compute the public key of the client according to the stored data and the client ID so as to compute a symmetric key; and the client and the server respectively calculate symmetric keys through the connected anti-quantum computing work cards, encrypt the information to be sent and decrypt the received encrypted information, thereby realizing anti-quantum computing of communication between the client and the server."
CN - 05.03.2021,"Client, server anti-quantum computing intranet access device and intranet access system","The utility model discloses a client, a server anti-quantum computing intranet access device and an intranet access system, and the client anti-quantum computing intranet access device and the serveranti-quantum computing intranet access device respectively comprise a central processing module, a storage module, a communication module, an identity information area and an encryption module, the client anti-quantum computing intranet access device provides an interface for connecting terminal equipment into an intranet, and the server anti-quantum computing intranet access device provides an interface for connecting an intranet server into the intranet; the anti-quantum computing intranet access system comprises a user side, a client side anti-quantum computing intranet access device, an intranet server and a server side anti-quantum computing intranet access device, and the user side and the intranet server are connected to the intranet through the corresponding anti-quantum computingintranet access devices respectively. The office system has the advantages that the office system not only can achieve quantum computing resistant intranet office systems, but also is low in cost andfree of the problem of symmetrical secret key management."
US - 22.02.2024,"QUANTUM COMPUTING TASK EXECUTION METHOD AND APPARATUS, AND QUANTUM COMPUTER OPERATING SYSTEM","A quantum computing task execution method and apparatus, and a quantum computer operating system are applied to a first electronic device including a quantum chip. First physical qubits in the quantum chip are assigned to execute a first quantum computing task. The method includes: acquiring a current topological structure of the quantum chip; acquiring a second quantum computing task in a task queue; determining second physical qubits based on the current topological structure and the second quantum computing task, wherein the second physical qubits and the first physical qubits do not interfere with each other; and assigning the second physical qubits to execute the second quantum computing task. According to some embodiments of the present disclosure, parallel computing of a plurality of quantum computing tasks can be realized during quantum computing."
EP - 06.03.2024,"QUANTUM COMPUTING TASK EXECUTION METHOD AND APPARATUS, AND QUANTUM COMPUTER OPERATING SYSTEM","A quantum computing task execution method and apparatus, and a quantum computer operating system are applied to a first electronic device including a quantum chip. First physical qubits in the quantum chip are assigned to execute a first quantum computing task. The method includes: acquiring a current topological structure of the quantum chip; acquiring a second quantum computing task in a task queue; determining second physical qubits based on the current topological structure and the second quantum computing task, wherein the second physical qubits and the first physical qubits do not interfere with each other; and assigning the second physical qubits to execute the second quantum computing task. According to some embodiments of the present disclosure, parallel computing of a plurality of quantum computing tasks can be realized during quantum computing."
CN - 17.02.2023,Quantum computer operating system and quantum computer,"The invention discloses a quantum computer operating system and a quantum computer.The quantum computer operating system comprises a quantum computing task receiving module, a to-be-scheduled quantum computing task obtaining module and a quantum computing task scheduling module, and the quantum computing task receiving module is used for receiving a quantum computing task queue; when two quantum computing tasks with different execution time are encountered, the quantum computing task with short execution time is delayed to be executed, and other quantum computing tasks with short execution time are distributed to the quantum bit within the quantum bit idle time for short execution time, so that the utilization rate of the quantum bit in the quantum chip is effectively improved."
US - 02.05.2024,QUANTUM SERVICE AUTOSCALING,A first quantum computing device receives a first set of computational information that reflects a utilization of computing resources of a first quantum service in a first quantum computing system that exceeds a computing resources threshold. The computing resources of the first quantum service in the first quantum computing system are altered based on the first set of computational information. The first quantum computing device then determines that the utilization of computing resources of the first quantum service in the first quantum computing system continues to exceed the computing resources threshold. The first quantum computing device causes an initiation of a copy of the first quantum service onto a second quantum computing device in a second quantum computing system.
CN - 13.12.2022,Quantum computing task processing device and method and quantum computer,"The invention provides a quantum computing task processing device and method and a computer. The processing device comprises a task receiving module, a compiling module, a database module and a data processing module. The task receiving module is configured to receive a plurality of quantum computing tasks, and the plurality of quantum computing tasks form a task queue; the compiling module is configured to compile the quantum computing task and output a corresponding experimental task; the database module is configured to store experiment tasks; the data processing module is configured to obtain the experiment task from the database module and output the experiment task to the quantum control system, and the quantum control system is used for outputting a corresponding regulation and control signal to the quantum chip based on the experiment task so as to complete a quantum calculation task. The database module is additionally arranged to store the data information of the quantum computing task, the storage problem of the quantum computing task is solved, the problems of data loss, parameter chaos, execution errors and the like are avoided, and normal operation of the quantum computing task can be guaranteed."
US - 11.04.2024,"QUANTUM COMPUTER OPERATING SYSTEM, QUANTUM COMPUTER AND READABLE STORAGE MEDIUM","Disclosed are a quantum computer operating system, a quantum computer and a quantum computer readable storage medium. The quantum computer operating system comprises: a quantum program compiling-optimizing service module configured for obtaining a quantum program to be executed, obtaining a topology of a qubit in a quantum chip of a second quantum computing hardware device, compiling the quantum program into quantum computing tasks based on the topology; and a communication module configured for sending the quantum computing tasks to the second quantum computing hardware device for quantum computing; wherein the topology is a current topology of an available qubit in the quantum chip of the second quantum computing hardware device, and the quantum program compiling-optimizing service module compiles the quantum program into the quantum computing tasks based on the current topology."
CN - 13.12.2022,Quantum task processing device and method and quantum computer,"The invention provides a quantum computing task processing device which comprises a task receiving module configured to receive quantum computing tasks and numbering the quantum computing tasks; the compiling module is configured to compile the quantum computing task and output a task data packet; the quantum control system is configured to output a regulation and control signal to a quantum processor based on the task data packet, obtain a return data packet after the quantum processor executes the quantum calculation task based on the regulation and control signal and output the return data packet; the routing service module is configured to receive the return data packet and analyze the return data packet to obtain the number of the quantum computing task; and the data processing module is configured to acquire the return data packet according to the number of the quantum computing task and perform analysis processing. The pressure of the data processing flow can be relieved, and stable and efficient execution of the quantum computing task is ensured."
WO - 29.12.2022,"WO/2022/267854METHOD, SYSTEM AND APPARATUS FOR PROCESSING QUANTUM COMPUTING TASK, AND OPERATING SYSTEM","A method and apparatus for processing a quantum computing task, and a quantum computer operating system. The method comprises: cutting a quantum circuit corresponding to a quantum computing task into a plurality of quantum sub-circuits on the basis of a quantum state evolution process of quantum bits of the quantum circuit (201); respectively preparing an initial quantum state of quantum bits in each quantum sub-circuit (202); measuring the quantum bits in each quantum sub-circuit after the initial quantum state is prepared, so as to obtain a measurement result of each quantum sub-circuit (203); and synthesizing the measurement results of the quantum sub-circuits to obtain a computing result of the quantum computing task (204). By means of the method, a quantum computing task can be decomposed into a plurality of independent quantum computing sub-tasks, so as to implement the distributed computing of the quantum computing task."
US - 29.08.2024,REAL-TIME QUBIT INFORMATION SERVICE,"A quantum computing device determines quantum characteristics of a quantum computing system, wherein the quantum characteristics comprise properties of qubits of the quantum computing system. The quantum computing device stores in a time series database information containing the quantum characteristics of the quantum computing system. The quantum computing device categorizes the information in the time series database, wherein the categorized information is associated with the qubits. The quantum computing device obtains from the time series database via an application programming interface (API) the categorized information. The quantum computing device presents on a display device real-time information about the quantum computing system based on the categorized information."
